Match_Id,Match_Date,Team_Name_Id,Opponent_Team_Id,Season_Id,Venue_Name,Toss_Winner_Id,Toss_Decision,IS_Superover,IS_Result,Is_DuckWorthLewis,Win_Type,Won_By,Match_Winner_Id,Man_Of_The_Match_Id,First_Umpire_Id,Second_Umpire_Id,City_Name,Host_Country,Inning_1_Score,Inning_2_Score,Batting_first_team,Batting_second_team
548383,22-May-12,6,1,5,Subrata Roy Sahara Stadium,1,bat,0,1,0,by runs,18,1,31,478,490,Pune,India,158,130,1,6
548384,23-May-12,3,7,5,M Chinnaswamy Stadium,7,field,0,1,0,by runs,38,3,20,474,482,Bangalore,India,182,138,3,7
548385,25-May-12,6,3,5,"MA Chidambaram Stadium, Chepauk",6,field,0,1,0,by runs,86,3,185,478,490,Chennai,India,216,125,3,6
548386,27-May-12,1,3,5,"MA Chidambaram Stadium, Chepauk",3,bat,0,1,0,by wickets,5,1,214,474,490,Chennai,India,183,184,3,1
598003,3-Apr-13,1,6,6,Eden Gardens,1,field,0,1,0,by wickets,6,1,315,489,490,Kolkata,India,123,123,6,1
598004,4-Apr-13,2,7,6,M Chinnaswamy Stadium,7,field,0,1,0,by runs,2,2,162,496,499,Bangalore,India,140,146,2,7
598005,5-Apr-13,11,10,6,"Rajiv Gandhi International Stadium, Uppal",10,field,0,1,0,by runs,22,11,136,489,490,Hyderabad,India,123,102,11,10
598006,6-Apr-13,6,5,6,Feroz Shah Kotla,5,bat,0,1,0,by runs,5,5,6,491,499,Delhi,India,156,149,5,6
598007,6-Apr-13,3,7,6,"MA Chidambaram Stadium, Chepauk",7,bat,0,1,0,by runs,9,7,221,481,496,Chennai,India,139,132,7,3
598008,7-Apr-13,10,4,6,Subrata Roy Sahara Stadium,10,bat,0,1,0,by wickets,8,4,345,483,490,Pune,India,96,97,10,4
598009,7-Apr-13,11,2,6,"Rajiv Gandhi International Stadium, Uppal",2,bat,1,1,0,Tie,,11,340,495,489,Hyderabad,India,122,114,2,11
598010,8-Apr-13,5,1,6,Sawai Mansingh Stadium,1,field,0,1,0,by runs,19,5,39,472,491,Jaipur,India,135,114,5,1
598011,9-Apr-13,7,6,6,Wankhede Stadium,7,bat,0,1,0,by runs,44,7,88,481,496,Mumbai,India,199,155,7,6
598012,10-Apr-13,4,3,6,"Punjab Cricket Association Stadium, Mohali",3,field,0,1,0,by wickets,10,3,19,472,499,Chandigarh,India,130,136,4,3
598013,11-Apr-13,2,1,6,M Chinnaswamy Stadium,2,field,0,1,0,by wickets,8,2,162,470,495,Bangalore,India,148,148,1,2
598014,11-Apr-13,10,5,6,Subrata Roy Sahara Stadium,5,bat,0,1,0,by wickets,7,10,254,481,503,Pune,India,138,142,5,10
598015,12-Apr-13,6,11,6,Feroz Shah Kotla,6,bat,0,1,0,by wickets,3,11,136,472,519,Delhi,India,107,112,6,11
598016,13-Apr-13,7,10,6,Wankhede Stadium,7,bat,0,1,0,by runs,41,7,57,489,490,Mumbai,India,180,137,7,10
598017,13-Apr-13,3,2,6,"MA Chidambaram Stadium, Chepauk",3,field,0,1,0,by wickets,4,3,35,470,495,Chennai,India,157,158,2,3
598018,14-Apr-13,1,11,6,Eden Gardens,1,bat,0,1,0,by runs,48,1,40,481,496,Kolkata,India,172,120,1,11
598019,14-Apr-13,5,4,6,Sawai Mansingh Stadium,5,field,0,1,0,by wickets,6,5,310,472,499,Jaipur,India,114,117,4,5
598020,15-Apr-13,3,10,6,"MA Chidambaram Stadium, Chepauk",10,bat,0,1,0,by runs,24,10,306,470,495,Chennai,India,151,133,10,3
598021,16-Apr-13,4,1,6,"Punjab Cricket Association Stadium, Mohali",1,field,0,1,0,by runs,4,4,120,498,490,Chandigarh,India,151,141,4,1
598022,16-Apr-13,2,6,6,M Chinnaswamy Stadium,2,field,1,1,0,Tie,,2,8,481,496,Bangalore,India,147,148,6,2
598023,17-Apr-13,10,11,6,Subrata Roy Sahara Stadium,10,field,0,1,0,by runs,11,11,136,470,495,Pune,India,114,108,11,10
598024,17-Apr-13,5,7,6,Sawai Mansingh Stadium,5,bat,0,1,0,by runs,87,5,85,472,499,Jaipur,India,164,85,5,7
