,Match_Id,cum_run_conceded,cum_ball_thrown,cum_wicket,Player_Id
3302,548337,991,746,33.0,71
3411,548348,1023,764,33.0,71
3460,548352,1050,789,33.0,71
3520,548357,1077,813,33.0,71
3558,548360,1111,838,33.0,71
3631,548366,1148,864,33.0,71
3663,548369,1184,884,33.0,71
3712,548373,1204,910,33.0,71
3745,548376,1225,929,33.0,71
3837,548384,1243,947,33.0,71
3848,548385,1253,965,33.0,71
3861,548386,1273,985,33.0,71
3919,598007,1319,1009,33.0,71
3976,598012,1361,1035,33.0,71
4033,598017,1386,1061,33.0,71
4068,598020,1414,1089,33.0,71
4124,598025,1448,1114,33.0,71
4147,598027,1456,1123,33.0,71
4193,598031,1470,1135,33.0,71
4238,598035,1506,1159,35.0,71
4286,598039,1543,1183,37.0,71
4333,598043,1580,1207,38.0,71
4370,598046,1598,1231,39.0,71
4427,598051,1632,1255,42.0,71
4486,598056,1651,1273,43.0,71
4572,598063,1676,1297,44.0,71
4620,598067,1711,1315,45.0,71
4692,598073,1730,1339,47.0,71
4714,598075,1756,1351,48.0,71
4750,598078,1765,1369,51.0,71
5464,829712,1807,1393,55.0,71
5487,829716,1843,1417,57.0,71
5562,829728,1868,1441,59.0,71
5599,829734,1895,1453,59.0,71
5634,829740,1925,1477,61.0,71
5696,829750,1955,1491,62.0,71
5742,829758,1980,1509,63.0,71
5796,829770,1993,1527,63.0,71
5839,829778,2015,1545,66.0,71
5875,829784,2040,1569,69.0,71
5935,829794,2057,1591,71.0,71
5983,829802,2073,1605,72.0,71
6051,829814,2116,1629,74.0,71
6097,829822,2136,1641,75.0,71
6120,829826,2176,1665,78.0,71
6132,829828,2197,1683,79.0,71
6167,980910,2233,1707,81.0,71
6202,980916,2255,1731,85.0,71
6237,980922,2298,1755,86.0,71
6309,980934,2337,1779,87.0,71
6358,980942,2363,1797,87.0,71
6406,980950,2406,1821,87.0,71
6430,980954,2446,1845,88.0,71
6464,980960,2486,1869,89.0,71
6539,980972,2519,1893,91.0,71
6586,980980,2533,1911,93.0,71
6659,980992,2572,1935,93.0,71
6745,981006,2618,1953,93.0,71
6781,981012,2647,1977,94.0,71
6820,981018,2669,2001,96.0,71
6844,981022,2695,2019,96.0,71
87,335994,0,0,0.0,72
114,335996,29,18,2.0,72
43,335990,0,0,0.0,73
88,335994,45,24,1.0,73
115,335996,80,48,2.0,73
150,335999,102,66,4.0,73
184,336002,121,78,4.0,73
271,336009,130,84,4.0,73
320,336013,155,108,7.0,73
364,336017,168,126,10.0,73
434,336023,189,144,11.0,73
471,336026,220,168,11.0,73
508,336029,237,186,11.0,73
552,336033,266,210,11.0,73
584,336037,300,228,11.0,73
635,336041,330,251,12.0,73
766,392194,348,269,12.0,73
819,392199,381,293,13.0,73
869,392203,415,317,15.0,73
907,392206,438,341,16.0,73
970,392211,468,365,18.0,73
1034,392216,495,389,21.0,73
1086,392220,518,413,22.0,73
1134,392224,545,437,24.0,73
1188,392228,574,461,26.0,73
1227,392231,621,485,27.0,73
1277,392235,627,509,28.0,73
1304,392237,635,527,29.0,73
1364,392242,656,551,30.0,73
1920,419154,694,575,31.0,73
1955,419157,702,587,31.0,73
1989,419160,732,611,32.0,73
2051,419165,758,635,35.0,73
3084,548318,790,659,37.0,73
3156,548324,810,677,37.0,73
3191,548327,832,695,37.0,73
3245,548332,874,720,37.0,73
3280,548335,927,745,37.0,73
3315,548338,950,769,37.0,73
3363,548342,976,793,37.0,73
3384,548346,1010,811,37.0,73
3470,548353,1039,835,37.0,73
3507,548356,1079,860,37.0,73
3593,548363,1098,884,37.0,73
3674,548370,1131,902,37.0,73
3789,548380,1154,926,37.0,73
3874,598003,1189,950,37.0,73
3907,598006,1209,968,37.0,73
3964,598011,1239,993,37.0,73
4090,598022,1288,1017,37.0,73
4219,598033,1318,1042,37.0,73
4298,598040,1356,1066,39.0,73
4359,598045,1383,1090,39.0,73
4404,598049,1420,1114,40.0,73
4585,598064,1434,1126,41.0,73
4621,598067,1462,1144,42.0,73
4785,729288,1499,1168,42.0,73
5367,734040,1523,1186,43.0,73
5423,734050,1556,1210,46.0,73
5432,734052,1590,1234,48.0,73
5465,829712,1641,1258,50.0,73
5488,829716,1666,1282,53.0,73
5563,829728,1697,1306,53.0,73
5600,829734,1733,1330,53.0,73
5635,829740,1756,1354,56.0,73
5697,829750,1788,1378,56.0,73
5743,829758,1798,1402,60.0,73
5797,829770,1814,1426,62.0,73
5840,829778,1852,1450,63.0,73
5876,829784,1883,1474,64.0,73
5936,829794,1902,1498,67.0,73
5984,829802,1947,1516,67.0,73
6052,829814,1976,1540,67.0,73
6098,829822,1993,1558,68.0,73
6121,829826,2021,1582,69.0,73
6133,829828,2049,1606,72.0,73
6178,980912,2090,1630,72.0,73
6391,980948,2111,1643,72.0,73
6452,980958,2132,1661,73.0,73
