,Match_Id,Season_Id,City_Name,Batting_first_team,Batting_second_team,form_diff,target,Win_percent_1,Win_percent_2,Win_Ground_1,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131
10,335997,1,Bangalore,2,5,-0.3,0,0.5,-0.5,0.5,16,145.454545454545,1.09090909090909,36,24,9,17,94.4444444444444,0.444444444444444,36,24,9,23,191.666666666667,1.33333333333333,36,24,9,16.5,106.451612903226,0.387096774193548,91,42,13,12,126.315789473684,0.947368421052632,36,24,9,46,164.285714285714,1.14285714285714,36,24,9,18,120,1.06666666666667,67,48,8.375,3,50,0,36,30,7.2,3,37.5,0,18.3333333333333,16,6.875,0,0,0,41,24,10.25,0,0,0,36,24,9,-71,-157.777777777778,-1.06666666666667,-36,-24,-9,-2,-50,0,-36,-24,-9,-26,-205.263157894737,-1.68421052631579,-25,-15.5,-9.67741935483871,-48.5,-138.571428571429,-0.885714285714286,-51,-36,-8.5,-16,-111.627906976744,-0.697674418604651,-36,-24,-9,-33,-129.411764705882,-0.901960784313726,-36,-24,-9,-27,-128.571428571429,-0.761904761904762,-41,-23,-10.695652173913,-36,-163.636363636364,-1.27272727272727,-16.4,-12,-8.2,0,0,0,-36,-24,-9,-3,-42.8571428571429,0,-47,-30,-9.4,0,0,0,-116,-66,-10.5454545454545
11,335998,1,Chennai,1,3,0.4,0,0.5,-0.5,0.5,12,57.1428571428571,0.285714285714286,10.5,12,5.25,163,208.974358974359,1.56410256410256,36,24,9,10,95.2380952380952,0.476190476190476,36,24,9,10,58.8235294117647,0.235294117647059,36,24,9,50,90.9090909090909,0.472727272727273,35,18,11.6666666666667,18,112.5,0.875,8,24,2,4,66.6666666666667,0,12,7,10.2857142857143,0,0,0,8.8,7.2,7.33333333333333,0,0,0,5.66666666666667,7.33333333333333,4.63636363636364,0,0,0,8,18,2.66666666666667,0,0,0,9,12,4.5,-14.5,-138.095238095238,-1.14285714285714,-36,-24,-9,-53,-168.253968253968,-1.3015873015873,-36,-24,-9,-16,-168.421052631579,-1.15789473684211,-36,-24,-9,-121,-192.063492063492,-1.42857142857143,-36,-24,-9,-33,-220,-1.6,-36,-24,-9,-42.5,-170,-1.12,-36,-24,-9,-18,-150,-0.833333333333333,-90,-48,-11.25,0,0,0,-25.3333333333333,-16,-9.5,0,0,0,-49.5,-24,-12.375,0,0,0,-30,-24,-7.5,0,0,0,-24.3333333333333,-16,-9.125
12,335999,1,Mumbai,7,8,-0.4,0,0.5,-0.5,0.5,7,100,0.857142857142857,36,24,9,16.6666666666667,147.058823529412,1.23529411764706,39,24,9.75,0,0,0,36,24,9,37.3333333333333,121.739130434783,0.760869565217391,36,24,9,22.3333333333333,139.583333333333,0.916666666666667,89,66,8.09090909090909,33.5,181.081081081081,1.08108108108108,48,24,12,23.5,127.027027027027,0.810810810810811,63,36,10.5,8.5,141.666666666667,0.833333333333333,25.5,15,10.2,3,25,0,25.5,16.5,9.27272727272727,2,12.5,0,20.25,14.5,8.37931034482759,0,0,0,36,24,9,-14.6666666666667,-110,-0.85,-36,-24,-9,-6,-64.2857142857143,-0.428571428571429,-36,-24,-9,-80.5,-153.333333333333,-1.08571428571429,-101,-41,-14.780487804878,-34,-147.826086956522,-0.956521739130435,-36,-24,-9,-6,-109.090909090909,-0.909090909090909,-15,-12,-7.5,-11,-91.6666666666667,-0.416666666666667,-49,-30,-9.8,-12.6666666666667,-146.153846153846,-1,-36,-24,-9,-2,-66.6666666666667,0,-28.6666666666667,-20,-8.6,0,0,0,-26.5,-21,-7.57142857142857,0,0,0,-30,-18,-10,0,0,0,-36,-24,-9
13,336000,1,Chandigarh,6,4,0.1,0,0.5,-0.5,0.5,70,127.272727272727,0.763636363636364,36,24,9,106,235.555555555556,1.95555555555556,36,24,9,77,111.594202898551,0.63768115942029,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,11,12,5.5,0,0,0,11.75,12,5.875,0,0,0,35,24,8.75,0,0,0,9.5,12,4.75,0,0,0,43,48,5.375,-22.6666666666667,-111.475409836066,-0.786885245901639,-50,-24,-12.5,-21,-123.529411764706,-0.352941176470588,-36,-24,-9,-56,-173.19587628866,-1.11340206185567,-36,-24,-9,-7,-127.272727272727,-0.545454545454545,-36,-24,-9,-32.6666666666667,-175,-1.21428571428571,-36,-24,-9,0,0,0,-36,-24,-9,-10.5,-77.7777777777778,-0.222222222222222,-17.4,-14.4,-7.25,-16,-160,-1.4,-26.3333333333333,-24,-6.58333333333333,-24,-200,-1.33333333333333,-31,-21,-8.85714285714286,0,0,0,-34.6666666666667,-20.3333333333333,-10.2295081967213,-4,-200,-2,-40,-24,-10
14,336001,1,Bangalore,3,2,0.4,1,0.5,-0.5,0.5,16.6666666666667,104.166666666667,0.75,36,24,9,88,157.142857142857,1.10714285714286,36,24,9,121,192.063492063492,1.42857142857143,36,24,9,42.5,170,1.12,36,24,9,37.5,163.04347826087,1,36,24,9,18,150,0.833333333333333,40.6666666666667,24,10.1666666666667,33,220,1.6,36,24,9,0,0,0,36,24,9,0,0,0,27,18,9,0,0,0,32,18,10.6666666666667,0,0,0,25,18,8.33333333333333,0,0,0,-36,-24,-9,-6,-37.5,0,-36,-24,-9,-33.5,-209.375,-1.8125,-36,-24,-9,-14.6666666666667,-107.317073170732,-0.487804878048781,-98,-48,-12.25,-25,-131.578947368421,-0.842105263157895,-36,-24,-9,-12.3333333333333,-112.121212121212,-0.727272727272727,-36,-24,-9,-11.3333333333333,-91.8918918918919,-0.432432432432432,-36,-24,-9,-52,-115.555555555556,-0.933333333333333,-54.5,-33,-9.90909090909091,-20,-76.9230769230769,-0.307692307692308,-19.75,-18,-6.58333333333333,-3,-42.8571428571429,0,-8.5,-9,-5.66666666666667,0,0,0,-36,-24,-9
15,336002,1,Kolkata,1,7,0.3,0,0.5,-0.5,0.5,93.5,207.777777777778,1.57777777777778,36,24,9,12,59.0163934426229,0.262295081967213,10.5,12,5.25,6.66666666666667,90.9090909090909,0.454545454545455,36,24,9,0,0,0,36,24,9,25,87.719298245614,0.456140350877193,45,24,11.25,17,85,0.45,24,36,4,46,117.948717948718,0.564102564102564,30,19,9.47368421052632,11,122.222222222222,0.444444444444444,10.5,9,7,3,100,0,16.6666666666667,13.3333333333333,7.5,4,133.333333333333,0,21,27,4.66666666666667,0,0,0,17.3333333333333,18,5.77777777777778,0,0,0,-36,-24,-9,-17,-123.636363636364,-0.909090909090909,-56,-36,-9.33333333333333,0,0,0,-36,-24,-9,-29.5,-121.649484536082,-0.762886597938144,-36,-24,-9,-27,-147.272727272727,-0.872727272727273,-94,-49,-11.5102040816327,-24.5,-124.050632911392,-0.784810126582278,-122,-78,-9.38461538461539,-33.6666666666667,-180.357142857143,-1.10714285714286,-61.3333333333333,-24,-15.3333333333333,-3,-25,0,-30.25,-19.5,-9.30769230769231,-2,-12.5,0,-22.25,-16,-8.34375,0,0,0,-36,-24,-9,-19,-82.6086956521739,-0.347826086956522,-36,-24,-9
16,336003,1,Delhi,6,2,-0.4,1,0.5,-0.5,0.5,44,127.536231884058,0.782608695652174,36,24,9,56,219.607843137255,1.80392156862745,36,24,9,77,106.944444444444,0.611111111111111,36,24,9,19,111.764705882353,0.705882352941176,32,21,9.14285714285714,24,171.428571428571,1,36,24,9,39,114.705882352941,0.705882352941176,36,24,9,17,113.333333333333,0.666666666666667,12.25,13.5,5.44444444444444,0,0,0,35,24,8.75,0,0,0,14.5,12,7.25,6,120,0,29,24,7.25,0,0,0,36,36,6,-29,-116,-0.84,-46,-30,-9.2,-28,-114.285714285714,-0.653061224489796,-36,-24,-9,-40,-181.818181818182,-1.33333333333333,-36,-24,-9,-14.5,-113.725490196078,-0.549019607843137,-134,-72,-11.1666666666667,-8.5,-89.4736842105263,-0.421052631578947,-36,-24,-9,-18,-122.727272727273,-0.727272727272727,-36,-24,-9,-12.25,-122.5,-0.8,-36,-24,-9,-14,-87.5,-0.375,-16.7142857142857,-13.7142857142857,-7.3125,-1,-50,0,-40,-24,-10,-1,-100,0,-56,-36,-9.33333333333333,-3,-42.8571428571429,0,-63,-49,-7.71428571428571
17,336004,1,Hyderabad,8,4,-0.4,0,0.5,-0.5,0.5,51,175.862068965517,1.49425287356322,36,24,9,18.3333333333333,101.851851851852,0.62962962962963,36,24,9,0,0,0,36,24,9,34,147.826086956522,0.956521739130435,36,24,9,6,109.090909090909,0.909090909090909,15.4,12,7.7,14,77.7777777777778,0.333333333333333,36,24,9,11,91.6666666666667,0.416666666666667,41.5,27,9.22222222222222,0,0,0,30,24,7.5,0,0,0,53,30,10.6,2,66.6666666666667,0,20.2,16.8,7.21428571428571,0,0,0,33.5,27,7.44444444444444,0,0,0,-36,-24,-9,-7,-77.7777777777778,0,-36,-24,-9,-43,-173.737373737374,-1.13131313131313,-36,-24,-9,-46,-162.352941176471,-1.08235294117647,-11,-12,-5.5,-9.66666666666667,-116,-0.56,-36,-24,-9,-17.25,-107.8125,-0.75,-50,-24,-12.5,-10.3333333333333,-91.1764705882353,-0.411764705882353,-16.1428571428571,-13.7142857142857,-7.0625,-24,-200,-1.33333333333333,-45.5,-33,-8.27272727272727,0,0,0,-43,-24.3333333333333,-10.6027397260274,-4,-200,-2,-17.25,-12,-8.625,0,0,0,-36,-24,-9
18,336005,1,Jaipur,5,1,-0.4,1,0.5,-0.5,0.5,60,137.931034482759,0.919540229885058,36,24,9,0,0,0,36,24,9,17.3333333333333,106.122448979592,0.693877551020408,36,24,9,24.75,198,1.68,30,18.5,9.72972972972973,79,142.342342342342,0.954954954954955,30.5,24,7.625,33,129.411764705882,0.901960784313726,36,24,9,36,163.636363636364,1.27272727272727,17.5,14,7.5,0,0,0,31,24,7.75,1,33.3333333333333,0,36,24,9,3,42.8571428571429,0,41,28,8.78571428571429,0,0,0,45.3333333333333,28,9.71428571428571,0,0,0,-36,-24,-9,-10,-63.4920634920635,-0.317460317460317,-17.5,-18,-5.83333333333333,-6.5,-86.6666666666667,-0.266666666666667,-12.2857142857143,-11.1428571428571,-6.61538461538462,0,0,0,-36,-24,-9,-22.3333333333333,-87.012987012987,-0.493506493506493,-45,-24,-11.25,-86,-140.983606557377,-0.819672131147541,-41,-25,-9.84,-29,-145,-1.3,-36,-24,-9,-18.5,-112.121212121212,-0.909090909090909,-36,-24,-9,0,0,0,-36,-24,-9,-4,-133.333333333333,0,-25,-25.3333333333333,-5.92105263157895,0,0,0,-16,-19.5,-4.92307692307692
19,336006,1,Chennai,3,6,0.4,0,0.5,-0.5,0.5,17.75,109.230769230769,0.769230769230769,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,46.6666666666667,184.210526315789,1.31578947368421,36,24,9,0,0,0,38,24,9.5,37.6666666666667,168.65671641791,1.07462686567164,36,24,9,33,220,1.6,36,24,9,0,0,0,22.5,15.6666666666667,8.61702127659575,0,0,0,36,24,9,0,0,0,19.1428571428571,13.7142857142857,8.375,0,0,0,28.3333333333333,24,7.08333333333333,-58,-141.463414634146,-0.845528455284553,-36,-24,-9,-45.3333333333333,-215.873015873016,-1.74603174603175,-60,-24,-15,0,0,0,-36,-24,-9,-63.5,-120.952380952381,-0.742857142857143,-36,-24,-9,-12.5,-119.047619047619,-0.761904761904762,-40,-27,-8.88888888888889,-13,-144.444444444444,-0.777777777777778,-36,-24,-9,-25,-125,-0.7,-15.75,-15,-6.3,-6,-120,0,-43,-36,-7.16666666666667,0,0,0,-16.8333333333333,-16,-6.3125,0,0,0,-36,-24,-9,0,0,0,-25,-18,-8.33333333333333
