,Match_Id,Player_Id,cum_run_scored,cum_ball_faced,cum_four,cum_six,cum_dis,cum_run_conceded,cum_ball_thrown,cum_wicket,Batting_Average,Batting_Strike_Rate,Hard_Hitter,Economy_Rate,Bowling_Strike_Rate,Bowling_Average
9087,734028,2,1752.0,1395.0,177.0,71.0,50.0,0.0,0.0,0.0,35.04,1.2559139784946236,0.8129032258064516,9.0,24.0,36.0
9341,734050,2,1780.0,1419.0,178.0,73.0,51.0,0.0,0.0,0.0,34.90196078431372,1.2544045102184638,0.8104298801973221,9.0,24.0,36.0
9360,734052,2,1794.0,1430.0,178.0,75.0,52.0,0.0,0.0,0.0,34.5,1.2545454545454546,0.8125874125874126,9.0,24.0,36.0
9417,829712,2,1805.0,1446.0,178.0,75.0,53.0,0.0,0.0,0.0,34.056603773584904,1.248271092669433,0.8035961272475796,9.0,24.0,36.0
9461,829716,2,1809.0,1448.0,179.0,75.0,54.0,0.0,0.0,0.0,33.5,1.2493093922651934,0.8052486187845304,9.0,24.0,36.0
9593,829728,2,1909.0,1504.0,186.0,84.0,54.0,0.0,0.0,0.0,35.351851851851855,1.269281914893617,0.8297872340425532,9.0,24.0,36.0
9668,829734,2,1941.0,1516.0,189.0,87.0,55.0,0.0,0.0,0.0,35.29090909090909,1.2803430079155673,0.8430079155672823,9.0,24.0,36.0
9725,829740,2,1987.0,1536.0,195.0,89.0,56.0,0.0,0.0,0.0,35.482142857142854,1.2936197916666667,0.85546875,9.0,24.0,36.0
9835,829750,2,1999.0,1543.0,198.0,89.0,57.0,0.0,0.0,0.0,35.07017543859649,1.2955281918340895,0.8593648736228127,9.0,24.0,36.0
9923,829758,2,2003.0,1549.0,199.0,89.0,58.0,0.0,0.0,0.0,34.53448275862069,1.2930923176242737,0.8586184635248547,9.0,24.0,36.0
9989,829770,2,2069.0,1593.0,207.0,92.0,59.0,0.0,0.0,0.0,35.067796610169495,1.2988072818581293,0.8662900188323918,9.0,24.0,36.0
10085,829778,2,2088.0,1607.0,210.0,93.0,60.0,0.0,0.0,0.0,34.8,1.299315494710641,0.8699439950217797,9.0,24.0,36.0
10143,829784,2,2100.0,1612.0,213.0,93.0,61.0,0.0,0.0,0.0,34.42622950819672,1.3027295285359801,0.8746898263027295,9.0,24.0,36.0
10253,829794,2,2120.0,1627.0,217.0,93.0,62.0,0.0,0.0,0.0,34.193548387096776,1.3030116779348495,0.876459741856177,9.0,24.0,36.0
6491,829802,2,948.0,763.0,99.0,36.0,21.0,0.0,0.0,0.0,45.142857142857146,1.2424639580602883,0.8020969855832241,9.0,24.0,36.0
6535,829806,2,1029.0,824.0,106.0,40.0,22.0,0.0,0.0,0.0,46.77272727272727,1.2487864077669903,0.8058252427184466,9.0,24.0,36.0
6632,829814,2,1040.0,845.0,107.0,40.0,23.0,0.0,0.0,0.0,45.21739130434783,1.2307692307692308,0.7905325443786982,9.0,24.0,36.0
6851,980910,2,1046.0,851.0,108.0,40.0,24.0,0.0,0.0,0.0,43.583333333333336,1.2291421856639249,0.7896592244418331,9.0,24.0,36.0
6916,980916,2,1046.0,853.0,108.0,40.0,25.0,0.0,0.0,0.0,41.84,1.2262602579132473,0.7878077373974208,9.0,24.0,36.0
6985,980922,2,1095.0,884.0,111.0,43.0,26.0,0.0,0.0,0.0,42.11538461538461,1.23868778280543,0.7941176470588235,9.0,24.0,36.0
7107,980934,2,1101.0,888.0,111.0,44.0,27.0,0.0,0.0,0.0,40.77777777777778,1.239864864864865,0.7972972972972973,9.0,24.0,36.0
7199,980942,2,1119.0,905.0,112.0,45.0,28.0,0.0,0.0,0.0,39.964285714285715,1.23646408839779,0.7933701657458564,9.0,24.0,36.0
7283,980950,2,1161.0,929.0,117.0,47.0,29.0,0.0,0.0,0.0,40.03448275862069,1.2497308934337998,0.8073196986006459,9.0,24.0,36.0
7332,980954,2,1221.0,965.0,123.0,50.0,30.0,0.0,0.0,0.0,40.7,1.2652849740932643,0.8207253886010363,9.0,24.0,36.0
7404,980960,2,1264.0,987.0,128.0,52.0,31.0,0.0,0.0,0.0,40.774193548387096,1.2806484295846,0.8348530901722391,9.0,24.0,36.0
7459,980966,2,1265.0,990.0,128.0,52.0,32.0,0.0,0.0,0.0,39.53125,1.2777777777777777,0.8323232323232324,9.0,24.0,36.0
7525,980972,2,1266.0,994.0,128.0,52.0,33.0,0.0,0.0,0.0,38.36363636363637,1.2736418511066399,0.8289738430583501,9.0,24.0,36.0
7619,980980,2,1273.0,1013.0,128.0,52.0,34.0,0.0,0.0,0.0,37.44117647058823,1.2566633761105628,0.8134254689042448,9.0,24.0,36.0
7749,980992,2,1302.0,1037.0,131.0,54.0,35.0,0.0,0.0,0.0,37.2,1.2555448408871746,0.8177434908389586,9.0,24.0,36.0
7909,981006,2,1313.0,1050.0,133.0,54.0,36.0,0.0,0.0,0.0,36.47222222222222,1.2504761904761905,0.8152380952380952,9.0,24.0,36.0
7974,981012,2,1319.0,1053.0,133.0,55.0,37.0,0.0,0.0,0.0,35.648648648648646,1.2526115859449192,0.818613485280152,9.0,24.0,36.0
8031,981018,2,1367.0,1080.0,141.0,56.0,38.0,0.0,0.0,0.0,35.973684210526315,1.2657407407407408,0.8333333333333334,9.0,24.0,36.0
8075,981022,2,1368.0,1084.0,141.0,56.0,39.0,0.0,0.0,0.0,35.07692307692308,1.2619926199261993,0.8302583025830258,9.0,24.0,36.0
2,335987,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,36.0
101,335991,3,20.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,20.0,1.0,0.5,9.0,24.0,36.0
244,335998,3,20.0,21.0,1.0,1.0,2.0,0.0,0.0,0.0,10.0,0.9523809523809523,0.47619047619047616,9.0,24.0,36.0
332,336002,3,20.0,22.0,1.0,1.0,3.0,0.0,0.0,0.0,6.666666666666667,0.9090909090909091,0.45454545454545453,9.0,24.0,36.0
5837,598004,3,39.0,53.0,2.0,1.0,4.0,0.0,0.0,0.0,9.75,0.7358490566037735,0.2641509433962264,9.0,24.0,36.0
5896,598007,3,67.0,87.0,3.0,2.0,4.0,0.0,0.0,0.0,16.75,0.7701149425287356,0.27586206896551724,9.0,24.0,36.0
5984,598011,3,73.0,97.0,3.0,2.0,4.0,0.0,0.0,0.0,18.25,0.7525773195876289,0.24742268041237114,9.0,24.0,36.0
6094,598016,3,73.0,103.0,3.0,2.0,4.0,0.0,0.0,0.0,18.25,0.7087378640776699,0.23300970873786409,9.0,24.0,36.0
6276,598024,3,87.0,120.0,5.0,2.0,4.0,0.0,0.0,0.0,21.75,0.725,0.26666666666666666,9.0,24.0,36.0
6389,598029,3,91.0,129.0,5.0,2.0,4.0,0.0,0.0,0.0,22.75,0.7054263565891473,0.24806201550387597,9.0,24.0,36.0
3,335987,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,36.0
103,335991,4,12.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.3333333333333333,9.0,24.0,36.0
246,335998,4,50.0,55.0,2.0,3.0,1.0,35.0,18.0,1.0,50.0,0.9090909090909091,0.4727272727272727,11.666666666666666,18.0,35.0
334,336002,4,50.0,57.0,2.0,3.0,2.0,45.0,24.0,1.0,25.0,0.8771929824561403,0.45614035087719296,11.25,24.0,45.0
409,336005,4,67.0,77.0,5.0,3.0,3.0,45.0,24.0,1.0,22.333333333333332,0.8701298701298701,0.4935064935064935,11.25,24.0,45.0
474,336008,4,109.0,107.0,6.0,5.0,4.0,71.0,36.0,1.0,27.25,1.0186915887850467,0.5046728971962616,11.833333333333334,36.0,71.0
619,336015,4,180.0,153.0,10.0,9.0,5.0,94.0,54.0,2.0,36.0,1.1764705882352942,0.6143790849673203,10.444444444444445,27.0,47.0
707,336019,4,206.0,165.0,11.0,12.0,5.0,94.0,54.0,2.0,41.2,1.2484848484848485,0.703030303030303,10.444444444444445,27.0,47.0
773,336022,4,263.0,194.0,15.0,15.0,5.0,94.0,54.0,2.0,52.6,1.3556701030927836,0.7731958762886598,10.444444444444445,27.0,47.0
861,336026,4,294.0,225.0,15.0,17.0,6.0,94.0,54.0,2.0,49.0,1.3066666666666666,0.72,10.444444444444445,27.0,47.0
950,336030,4,296.0,232.0,15.0,17.0,7.0,94.0,54.0,2.0,42.285714285714285,1.2758620689655173,0.6982758620689655,10.444444444444445,27.0,47.0
993,336032,4,296.0,233.0,15.0,17.0,8.0,94.0,54.0,2.0,37.0,1.2703862660944205,0.6952789699570815,10.444444444444445,27.0,47.0
1155,336040,4,307.0,248.0,17.0,17.0,9.0,94.0,54.0,2.0,34.111111111111114,1.2379032258064515,0.6854838709677419,10.444444444444445,27.0,47.0
1742,419132,4,319.0,259.0,19.0,17.0,10.0,130.0,78.0,2.0,31.9,1.2316602316602316,0.6872586872586872,10.0,39.0,65.0
1836,419136,4,322.0,264.0,19.0,17.0,11.0,137.0,84.0,2.0,29.272727272727273,1.2196969696969697,0.6742424242424242,9.785714285714286,42.0,68.5
1918,419140,4,351.0,296.0,21.0,18.0,12.0,161.0,108.0,2.0,29.25,1.1858108108108107,0.6486486486486487,8.944444444444445,54.0,80.5
